feature_file,label
train10000_stft.npy,1
train10001_stft.npy,0
train10002_stft.npy,0
train10003_stft.npy,0
train10004_stft.npy,1
train10005_stft.npy,1
train10006_stft.npy,0
train10007_stft.npy,0
train10008_stft.npy,0
train10009_stft.npy,0
train1000_stft.npy,1
train10010_stft.npy,0
train10011_stft.npy,0
train10012_stft.npy,0
train10013_stft.npy,1
train10014_stft.npy,0
train10015_stft.npy,0
train10016_stft.npy,0
train10017_stft.npy,0
train10018_stft.npy,1
train10019_stft.npy,0
train1001_stft.npy,0
train10020_stft.npy,0
train10021_stft.npy,0
train10022_stft.npy,0
train10023_stft.npy,1
train10024_stft.npy,0
train10025_stft.npy,1
train10026_stft.npy,1
train10027_stft.npy,0
train10028_stft.npy,0
train10029_stft.npy,0
train1002_stft.npy,0
train10030_stft.npy,0
train10031_stft.npy,0
train10032_stft.npy,0
train10033_stft.npy,0
train10034_stft.npy,0
train10035_stft.npy,0
train10036_stft.npy,0
train10037_stft.npy,0
train10038_stft.npy,0
train10039_stft.npy,0
train1003_stft.npy,0
train10040_stft.npy,1
train10041_stft.npy,0
train10042_stft.npy,0
train10043_stft.npy,0
train10044_stft.npy,0
train10045_stft.npy,0
train10046_stft.npy,1
train10047_stft.npy,0
train10048_stft.npy,0
train10049_stft.npy,1
train1004_stft.npy,0
train10050_stft.npy,0
train10051_stft.npy,0
train10052_stft.npy,1
train10053_stft.npy,0
train10054_stft.npy,1
train10055_stft.npy,1
train10056_stft.npy,0
train10057_stft.npy,0
train10058_stft.npy,1
train10059_stft.npy,0
train1005_stft.npy,0
train10060_stft.npy,0
train10061_stft.npy,1
train10062_stft.npy,1
train10063_stft.npy,1
train10064_stft.npy,0
train10065_stft.npy,1
train10066_stft.npy,0
train10067_stft.npy,0
train10068_stft.npy,0
train10069_stft.npy,0
train1006_stft.npy,0
train10070_stft.npy,1
train10071_stft.npy,1
train10072_stft.npy,0
train10073_stft.npy,0
train10074_stft.npy,1
train10075_stft.npy,0
train10076_stft.npy,0
train10077_stft.npy,1
train10078_stft.npy,0
train10079_stft.npy,0
train1007_stft.npy,1
train10080_stft.npy,0
train10081_stft.npy,0
train10082_stft.npy,1
train10083_stft.npy,1
train10084_stft.npy,0
train10085_stft.npy,0
train10086_stft.npy,0
train10087_stft.npy,0
train10088_stft.npy,0
train10089_stft.npy,0
train1008_stft.npy,0
train10090_stft.npy,0
train10091_stft.npy,1
train10092_stft.npy,1
train10093_stft.npy,1
train10094_stft.npy,1
train10095_stft.npy,0
train10096_stft.npy,0
train10097_stft.npy,0
train10098_stft.npy,0
train10099_stft.npy,0
train1009_stft.npy,0
train100_stft.npy,0
train10100_stft.npy,0
train10101_stft.npy,1
train10102_stft.npy,1
train10103_stft.npy,1
train10104_stft.npy,0
train10105_stft.npy,1
train10106_stft.npy,0
train10107_stft.npy,0
train10108_stft.npy,0
train10109_stft.npy,0
train1010_stft.npy,0
train10110_stft.npy,1
train10111_stft.npy,1
train10112_stft.npy,0
train10113_stft.npy,1
train10114_stft.npy,0
train10115_stft.npy,0
train10116_stft.npy,0
train10117_stft.npy,0
train10118_stft.npy,1
train10119_stft.npy,1
train1011_stft.npy,0
train10120_stft.npy,1
train10121_stft.npy,1
train10122_stft.npy,0
train10123_stft.npy,0
train10124_stft.npy,1
train10125_stft.npy,1
train10126_stft.npy,0
train10127_stft.npy,1
train10128_stft.npy,1
train10129_stft.npy,0
train1012_stft.npy,0
train10130_stft.npy,0
train10131_stft.npy,1
train10132_stft.npy,1
train10133_stft.npy,0
train10134_stft.npy,0
train10135_stft.npy,0
train10136_stft.npy,1
train10137_stft.npy,0
train10138_stft.npy,1
train10139_stft.npy,1
train1013_stft.npy,0
train10140_stft.npy,0
train10141_stft.npy,0
train10142_stft.npy,0
train10143_stft.npy,0
train10144_stft.npy,1
train10145_stft.npy,1
train10146_stft.npy,1
train10147_stft.npy,0
train10148_stft.npy,0
train10149_stft.npy,0
train1014_stft.npy,0
train10150_stft.npy,0
train10151_stft.npy,0
train10152_stft.npy,0
train10153_stft.npy,0
train10154_stft.npy,1
train10155_stft.npy,1
train10156_stft.npy,1
train10157_stft.npy,1
train10158_stft.npy,0
train10159_stft.npy,0
train1015_stft.npy,0
train10160_stft.npy,1
train10161_stft.npy,1
train10162_stft.npy,1
train10163_stft.npy,0
train10164_stft.npy,0
train10165_stft.npy,0
train10166_stft.npy,0
train10167_stft.npy,0
train10168_stft.npy,0
train10169_stft.npy,1
train1016_stft.npy,0
train10170_stft.npy,1
train10171_stft.npy,1
train10172_stft.npy,0
train10173_stft.npy,0
train10174_stft.npy,1
train10175_stft.npy,0
train10176_stft.npy,1
train10177_stft.npy,0
train10178_stft.npy,0
train10179_stft.npy,0
train1017_stft.npy,0
train10180_stft.npy,1
train10181_stft.npy,0
train10182_stft.npy,0
train10183_stft.npy,0
train10184_stft.npy,0
train10185_stft.npy,0
train10186_stft.npy,1
train10187_stft.npy,1
train10188_stft.npy,0
train10189_stft.npy,0
train1018_stft.npy,0
train10190_stft.npy,0
train10191_stft.npy,0
train10192_stft.npy,0
train10193_stft.npy,0
train10194_stft.npy,1
train10195_stft.npy,0
train10196_stft.npy,0
train10197_stft.npy,1
train10198_stft.npy,1
train10199_stft.npy,0
train1019_stft.npy,0
train101_stft.npy,0
train10200_stft.npy,1
train10201_stft.npy,1
train10202_stft.npy,1
train10203_stft.npy,1
train10204_stft.npy,1
train10205_stft.npy,1
train10206_stft.npy,1
train10207_stft.npy,1
train10208_stft.npy,0
train10209_stft.npy,1
train1020_stft.npy,0
train10210_stft.npy,1
train10211_stft.npy,0
train10212_stft.npy,0
train10213_stft.npy,0
train10214_stft.npy,0
train10215_stft.npy,0
train10216_stft.npy,0
train10217_stft.npy,1
train10218_stft.npy,0
train10219_stft.npy,0
train1021_stft.npy,0
train10220_stft.npy,1
train10221_stft.npy,1
train10222_stft.npy,0
train10223_stft.npy,0
train10224_stft.npy,1
train10225_stft.npy,1
train10226_stft.npy,1
train10227_stft.npy,1
train10228_stft.npy,1
train10229_stft.npy,1
train1022_stft.npy,0
train10230_stft.npy,1
train10231_stft.npy,0
train10232_stft.npy,1
train10233_stft.npy,1
train10234_stft.npy,1
train10235_stft.npy,0
train10236_stft.npy,0
train10237_stft.npy,0
train10238_stft.npy,0
train10239_stft.npy,1
train1023_stft.npy,0
train10240_stft.npy,0
train10241_stft.npy,0
train10242_stft.npy,0
train10243_stft.npy,1
train10244_stft.npy,1
train10245_stft.npy,0
train10246_stft.npy,0
train10247_stft.npy,0
train10248_stft.npy,0
train10249_stft.npy,0
train1024_stft.npy,0
train10250_stft.npy,1
train10251_stft.npy,0
train10252_stft.npy,0
train10253_stft.npy,1
train10254_stft.npy,0
train10255_stft.npy,0
train10256_stft.npy,1
train10257_stft.npy,0
train10258_stft.npy,1
train10259_stft.npy,0
train1025_stft.npy,0
train10260_stft.npy,0
train10261_stft.npy,0
train10262_stft.npy,1
train10263_stft.npy,1
train10264_stft.npy,0
train10265_stft.npy,1
train10266_stft.npy,1
train10267_stft.npy,0
train10268_stft.npy,1
train10269_stft.npy,0
train1026_stft.npy,0
train10270_stft.npy,0
train10271_stft.npy,0
train10272_stft.npy,1
train10273_stft.npy,1
train10274_stft.npy,0
train10275_stft.npy,1
train10276_stft.npy,1
train10277_stft.npy,0
train10278_stft.npy,0
train10279_stft.npy,1
train1027_stft.npy,0
train10280_stft.npy,0
train10281_stft.npy,0
train10282_stft.npy,0
train10283_stft.npy,0
train10284_stft.npy,0
train10285_stft.npy,0
train10286_stft.npy,0
train10287_stft.npy,0
train10288_stft.npy,1
train10289_stft.npy,0
train1028_stft.npy,0
train10290_stft.npy,0
train10291_stft.npy,0
train10292_stft.npy,1
train10293_stft.npy,1
train10294_stft.npy,0
train10295_stft.npy,0
train10296_stft.npy,1
train10297_stft.npy,0
train10298_stft.npy,1
train10299_stft.npy,1
train1029_stft.npy,0
train102_stft.npy,0
train10300_stft.npy,0
train10301_stft.npy,0
train10302_stft.npy,1
train10303_stft.npy,1
train10304_stft.npy,0
train10305_stft.npy,1
train10306_stft.npy,0
train10307_stft.npy,0
train10308_stft.npy,0
train10309_stft.npy,0
train1030_stft.npy,1
train10310_stft.npy,0
train10311_stft.npy,0
train10312_stft.npy,0
train10313_stft.npy,0
train10314_stft.npy,0
train10315_stft.npy,0
train10316_stft.npy,0
train10317_stft.npy,0
train10318_stft.npy,0
train10319_stft.npy,0
train1031_stft.npy,0
train10320_stft.npy,0
train10321_stft.npy,0
train10322_stft.npy,0
train10323_stft.npy,0
train10324_stft.npy,1
train10325_stft.npy,0
train10326_stft.npy,1
train10327_stft.npy,1
train10328_stft.npy,0
train10329_stft.npy,0
train1032_stft.npy,0
train10330_stft.npy,0
train10331_stft.npy,0
train10332_stft.npy,0
train10333_stft.npy,0
train10334_stft.npy,0
train10335_stft.npy,0
train10336_stft.npy,0
train10337_stft.npy,0
train10338_stft.npy,0
train10339_stft.npy,0
train1033_stft.npy,0
train10340_stft.npy,0
train10341_stft.npy,0
train10342_stft.npy,0
train10343_stft.npy,0
train10344_stft.npy,0
train10345_stft.npy,0
train10346_stft.npy,0
train10347_stft.npy,0
train10348_stft.npy,0
train10349_stft.npy,0
train1034_stft.npy,0
train10350_stft.npy,0
train10351_stft.npy,0
train10352_stft.npy,0
train10353_stft.npy,0
train10354_stft.npy,0
train10355_stft.npy,0
train10356_stft.npy,0
train10357_stft.npy,0
train10358_stft.npy,0
train10359_stft.npy,0
train1035_stft.npy,0
train10360_stft.npy,0
train10361_stft.npy,0
train10362_stft.npy,0
train10363_stft.npy,0
train10364_stft.npy,0
train10365_stft.npy,1
train10366_stft.npy,1
train10367_stft.npy,0
train10368_stft.npy,0
train10369_stft.npy,0
train1036_stft.npy,0
train10370_stft.npy,0
train10371_stft.npy,0
train10372_stft.npy,0
train10373_stft.npy,1
train10374_stft.npy,0
train10375_stft.npy,0
train10376_stft.npy,1
train10377_stft.npy,0
train10378_stft.npy,0
train10379_stft.npy,1
train1037_stft.npy,0
train10380_stft.npy,1
train10381_stft.npy,0
train10382_stft.npy,0
train10383_stft.npy,1
train10384_stft.npy,0
train10385_stft.npy,0
train10386_stft.npy,0
train10387_stft.npy,1
train10388_stft.npy,1
train10389_stft.npy,0
train1038_stft.npy,0
train10390_stft.npy,1
train10391_stft.npy,0
train10392_stft.npy,0
train10393_stft.npy,0
train10394_stft.npy,1
train10395_stft.npy,0
train10396_stft.npy,0
train10397_stft.npy,0
train10398_stft.npy,0
train10399_stft.npy,1
train1039_stft.npy,0
train103_stft.npy,0
train10400_stft.npy,1
train10401_stft.npy,0
train10402_stft.npy,1
train10403_stft.npy,1
train10404_stft.npy,0
train10405_stft.npy,0
train10406_stft.npy,0
train10407_stft.npy,0
train10408_stft.npy,0
train10409_stft.npy,0
train1040_stft.npy,0
train10410_stft.npy,0
train10411_stft.npy,0
train10412_stft.npy,0
